с,В
4.7532,0.4164
4.7642,0.4164
4.7752,0.4164
4.7861,0.4164
4.7969,0.4113
4.8077,0.4113
4.8188,0.4062
4.8298,0.4062
4.8407,0.4062
4.8517,0.4012
4.8627,0.4062
4.8737,0.4012
4.8846,0.4062
4.8955,0.4012
4.9065,0.4012
4.9174,0.3961
4.9284,0.3961
4.9394,0.4012
4.9503,0.3910
4.9613,0.3961
4.9720,0.3859
4.9827,0.3910
4.9934,0.3859
5.0040,0.3910
5.0148,0.3910
5.0254,0.3859
5.0361,0.3809
5.0468,0.3859
5.0575,0.3809
5.0685,0.3809
5.0794,0.3809
5.0904,0.3758
5.1020,0.3809
5.1128,0.3758
5.1235,0.3758
5.1343,0.3758
5.1451,0.3758
5.1558,0.3758
5.1668,0.3758
5.1778,0.3707
5.1888,0.3707
5.1998,0.3707
5.2108,0.3656
5.2219,0.3707
5.2329,0.3656
5.2439,0.3707
5.2550,0.3656
5.2660,0.3656
5.2770,0.3656
5.2881,0.3605
5.2991,0.3656
5.3102,0.3605
5.3212,0.3605
5.3322,0.3555
5.3432,0.3555
5.3542,0.3555
5.3652,0.3605
5.3762,0.3555
5.3872,0.3504
5.3982,0.3504
5.4091,0.3504
5.4202,0.3555
5.4312,0.3504
5.4422,0.3504
5.4532,0.3504
5.4642,0.3453
5.4752,0.3453
5.4862,0.3453
5.4972,0.3453
5.5082,0.3453
5.5192,0.3402
5.5302,0.3453
5.5412,0.3453
5.5521,0.3402
5.5631,0.3402
5.5741,0.3402
5.5851,0.3402
5.5961,0.3402
5.6071,0.3352
5.6180,0.3402
5.6290,0.3352
5.6400,0.3352
5.6511,0.3301
5.6621,0.3301
5.6730,0.3352
5.6840,0.3301
5.6951,0.3301
5.7062,0.3301
5.7172,0.3301
5.7282,0.3250
5.7392,0.3250
5.7502,0.3250
5.7612,0.3250
5.7722,0.3250
5.7832,0.3250
5.7942,0.3250
5.8052,0.3250
5.8162,0.3250
5.8273,0.3199
5.8383,0.3250
5.8493,0.3199
5.8603,0.3199
5.8713,0.3148
5.8823,0.3199
5.8933,0.3148
5.9044,0.3148
5.9154,0.3199
5.9264,0.3148
5.9374,0.3148
5.9484,0.3148
5.9594,0.3098
5.9704,0.3098
5.9814,0.3148
5.9924,0.3098
6.0034,0.3098
6.0143,0.3098
6.0254,0.3098
6.0364,0.3098
6.0474,0.3047
6.0584,0.3047
6.0694,0.3047
6.0805,0.3047
6.0915,0.3047
6.1026,0.3047
6.1136,0.3047
6.1247,0.3047
6.1357,0.3047
6.1467,0.3047
6.1577,0.2996
6.1686,0.2996
6.1797,0.2996
6.1904,0.2996
6.2011,0.2945
6.2119,0.2945
6.2226,0.2945
6.2334,0.2996
6.2441,0.2996
6.2548,0.2945
6.2655,0.2945
6.2762,0.2945
6.2871,0.2895
6.2981,0.2945
6.3092,0.2945
6.3203,0.2945
6.3313,0.2945
6.3424,0.2895
6.3533,0.2895
6.3644,0.2895
6.3754,0.2895
6.3864,0.2895
6.3975,0.2895
6.4085,0.2895
6.4195,0.2844
6.4305,0.2844
6.4415,0.2844
6.4526,0.2793
6.4636,0.2844
6.4747,0.2844
6.4857,0.2844
6.4967,0.2844
6.5076,0.2844
6.5186,0.2844
6.5297,0.2793
6.5406,0.2844
6.5516,0.2793
6.5626,0.2793
6.5736,0.2793
6.5846,0.2793
6.5957,0.2793
6.6067,0.2793
6.6177,0.2742
6.6287,0.2793
6.6398,0.2793
6.6508,0.2742
6.6618,0.2793
6.6728,0.2742
6.6838,0.2742
6.6947,0.2742
6.7055,0.2742
6.7162,0.2742
6.7270,0.2793
6.7377,0.2691
6.7484,0.2691
6.7592,0.2742
6.7699,0.2691
6.7806,0.2742
6.7914,0.2691
6.8021,0.2691
6.8128,0.2691
6.8236,0.2691
6.8343,0.2691
6.8451,0.2691
6.8560,0.2641
6.8667,0.2641
6.8775,0.2641
6.8882,0.2691
6.8992,0.2641
6.9103,0.2641
6.9213,0.2641
6.9323,0.2641
6.9434,0.2641
6.9543,0.2641
6.9654,0.2641
6.9764,0.2438
6.9873,0.2641
6.9983,0.2641
7.0093,0.2590
7.0202,0.2590
7.0312,0.2641
7.0422,0.2590
7.0532,0.2590
7.0643,0.2691
7.0753,0.2590
7.0863,0.2590
7.0972,0.2590
7.1083,0.2590
7.1192,0.2590
7.1303,0.2590
7.1412,0.2539
7.1522,0.2590
7.1632,0.2590
7.1742,0.2539
7.1852,0.2590
7.1962,0.2539
7.2068,0.2539
7.2175,0.2590
7.2283,0.2590
7.2390,0.2539
7.2499,0.2488
7.2606,0.2539
7.2713,0.2539
7.2821,0.2539
7.2928,0.2539
7.3036,0.2539
7.3146,0.2539
7.3255,0.2488
7.3365,0.2539
7.3475,0.2539
7.3585,0.2488
7.3695,0.2488
7.3805,0.2488
7.3915,0.2488
7.4025,0.2488
7.4135,0.2539
7.4245,0.2488
7.4355,0.2438
7.4465,0.2539
7.4575,0.2488
7.4684,0.2438
7.4794,0.2488
7.4904,0.2438
7.5014,0.2438
7.5125,0.2438
7.5235,0.2438
7.5346,0.2438
7.5456,0.2438
7.5566,0.2488
7.5676,0.2438
