с,В
0.3017,1.6305
0.3022,1.6305
0.3027,1.6254
0.3033,1.6305
0.3038,1.6254
0.3043,1.6203
0.3049,1.6203
0.3054,1.6254
0.3059,1.6305
0.3064,1.6254
0.3070,1.6254
0.3075,1.6254
0.3080,1.6203
0.3086,1.6254
0.3091,1.6254
0.3096,1.6254
0.3102,1.6254
0.3107,1.6305
0.3113,1.6254
0.3118,1.6254
0.3124,1.6254
0.3129,1.6254
0.3134,1.6254
0.3140,1.6254
0.3145,1.6203
0.3151,1.6254
0.3156,1.6254
0.3161,1.6203
0.3167,1.6305
0.3172,1.6254
0.3177,1.6305
0.3183,1.6254
0.3188,1.6254
0.3194,1.6254
0.3199,1.6254
0.3204,1.6254
0.3210,1.6254
0.3215,1.6254
0.3220,1.6305
0.3226,1.6203
0.3231,1.6254
0.3236,1.6254
0.3242,1.6203
0.3247,1.6203
0.3252,1.6254
0.3258,1.6254
0.3263,1.6305
0.3268,1.6254
0.3273,1.6254
0.3279,1.6254
0.3284,1.6203
0.3289,1.6254
0.3294,1.6254
0.3300,1.6203
0.3305,1.6203
0.3310,1.6203
0.3315,1.6254
0.3320,1.6203
0.3326,1.6203
0.3331,1.6254
0.3336,1.6254
0.3341,1.6254
0.3347,1.6203
0.3352,1.6203
0.3357,1.6203
0.3362,1.6203
0.3368,1.6203
0.3373,1.6203
0.3378,1.6203
0.3383,1.6203
0.3389,1.6254
0.3394,1.6203
0.3399,1.6203
0.3404,1.6203
0.3409,1.6254
0.3415,1.6254
0.3420,1.6203
0.3425,1.6254
0.3430,1.6203
0.3436,1.6203
0.3441,1.6203
0.3446,1.6254
0.3451,1.6203
0.3457,1.6203
0.3462,1.6254
0.3467,1.6203
0.3472,1.6254
0.3477,1.6203
0.3483,1.6203
0.3488,1.6203
0.3493,1.6254
0.3498,1.6254
0.3504,1.6203
0.3509,1.6203
0.3514,1.6203
0.3519,1.6203
0.3525,1.6203
0.3530,1.6203
0.3535,1.6203
0.3540,1.6254
0.3546,1.6203
0.3551,1.6254
0.3556,1.6203
0.3561,1.6153
0.3567,1.6203
0.3572,1.6254
0.3577,1.6203
0.3582,1.6254
0.3588,1.6203
0.3593,1.6254
0.3598,1.6203
0.3603,1.6203
0.3609,1.6254
0.3614,1.6203
0.3619,1.6254
0.3624,1.6203
0.3630,1.6203
0.3635,1.6203
0.3640,1.6203
0.3645,1.6203
0.3651,1.6203
0.3656,1.6203
0.3661,1.6203
0.3666,1.6203
0.3671,1.6153
0.3677,1.6203
0.3682,1.6203
0.3687,1.6254
0.3692,1.6203
0.3698,1.6203
0.3703,1.6203
0.3708,1.6153
0.3713,1.6203
0.3719,1.6203
0.3724,1.6203
0.3729,1.6203
0.3734,1.6203
0.3739,1.6203
0.3745,1.6203
0.3750,1.6203
0.3755,1.6203
0.3760,1.6203
0.3766,1.6153
0.3771,1.6203
0.3776,1.6153
0.3781,1.6203
0.3787,1.6203
0.3792,1.6203
0.3797,1.6203
0.3802,1.6153
0.3807,1.6203
0.3813,1.6203
0.3818,1.6203
0.3823,1.6203
0.3828,1.6203
0.3834,1.6153
0.3839,1.6153
0.3844,1.6153
0.3849,1.6203
0.3855,1.6203
0.3860,1.6203
0.3865,1.6203
0.3870,1.6203
0.3875,1.6203
0.3881,1.6203
0.3886,1.6203
0.3891,1.6153
0.3896,1.6203
0.3902,1.6153
0.3907,1.6203
0.3912,1.6203
0.3917,1.6203
0.3923,1.6203
0.3928,1.6203
0.3933,1.6153
0.3938,1.6203
0.3943,1.6203
0.3949,1.6153
0.3954,1.6203
0.3959,1.6203
0.3964,1.6153
0.3970,1.6203
0.3975,1.6153
0.3980,1.6203
0.3985,1.6203
0.3991,1.6203
0.3996,1.6203
0.4001,1.6203
0.4006,1.6102
0.4011,1.6153
0.4017,1.6153
0.4022,1.6153
0.4027,1.6153
0.4032,1.6203
0.4038,1.6153
0.4043,1.6203
0.4048,1.6153
0.4053,1.6153
0.4059,1.6203
0.4064,1.6203
0.4069,1.6203
0.4074,1.6153
0.4080,1.6153
0.4085,1.6153
0.4090,1.6203
0.4095,1.6153
0.4101,1.6203
0.4106,1.6153
0.4111,1.6203
0.4116,1.6153
0.4122,1.6153
0.4127,1.6203
0.4132,1.6153
0.4137,1.6203
0.4143,1.6153
0.4148,1.6153
0.4153,1.6153
0.4158,1.6153
0.4164,1.6153
0.4169,1.6203
0.4174,1.6153
0.4180,1.6153
0.4185,1.6153
0.4190,1.6153
0.4195,1.6153
0.4200,1.6203
0.4206,1.6153
0.4211,1.6153
0.4216,1.6153
0.4221,1.6203
0.4227,1.6153
0.4232,1.6102
0.4237,1.6102
0.4242,1.6153
0.4248,1.6153
0.4253,1.6102
0.4258,1.6102
0.4263,1.6102
0.4269,1.6203
0.4274,1.6153
0.4279,1.6102
0.4284,1.6153
0.4289,1.6153
0.4295,1.6153
0.4300,1.6153
0.4305,1.6153
0.4310,1.6153
0.4316,1.6153
0.4321,1.6153
0.4326,1.6153
0.4331,1.6153
0.4337,1.6153
0.4342,1.6153
0.4347,1.6102
0.4352,1.6153
0.4357,1.6153
0.4363,1.6102
0.4368,1.6102
0.4373,1.6153
0.4378,1.6153
0.4384,1.6153
0.4389,1.6153
0.4394,1.6153
0.4399,1.6153
0.4404,1.6102
0.4410,1.6153
0.4415,1.6153
0.4420,1.6153
0.4425,1.6153
0.4431,1.6153
0.4436,1.6051
0.4441,1.6102
0.4446,1.6153
0.4452,1.6153
0.4457,1.6153
0.4462,1.6102
0.4467,1.6102
0.4472,1.6153
0.4478,1.6153
0.4483,1.6153
0.4488,1.6153
0.4493,1.6102
0.4499,1.6102
0.4504,1.6102
0.4509,1.6153
0.4514,1.6153
0.4519,1.6102
0.4525,1.6153
0.4530,1.6102
0.4535,1.6153
0.4540,1.6102
0.4546,1.6153
0.4551,1.6102
0.4556,1.6153
0.4561,1.6153
0.4567,1.6153
0.4572,1.6051
0.4577,1.6153
0.4582,1.6153
0.4588,1.6102
0.4593,1.6153
0.4598,1.6153
0.4603,1.6153
0.4609,1.6153
0.4614,1.6051
0.4619,1.6102
0.4624,1.6153
0.4630,1.6153
0.4635,1.6153
0.4640,1.6102
0.4645,1.6153
0.4651,1.6051
0.4656,1.6102
0.4661,1.6102
0.4666,1.6102
0.4672,1.6102
0.4677,1.6102
0.4682,1.6153
0.4687,1.6102
0.4693,1.6153
0.4698,1.6153
0.4703,1.6153
0.4708,1.6153
0.4714,1.6153
0.4719,1.6153
0.4724,1.6102
0.4729,1.6153
0.4735,1.6153
0.4740,1.6102
0.4745,1.6102
0.4750,1.6102
0.4756,1.6153
0.4761,1.6153
0.4766,1.6153
0.4771,1.6102
0.4776,1.6153
0.4782,1.6102
0.4787,1.6102
0.4792,1.6102
0.4797,1.6102
0.4803,1.6102
0.4808,1.6153
0.4813,1.6153
0.4818,1.6153
0.4824,1.6051
0.4829,1.6102
0.4834,1.6051
0.4839,1.6153
0.4845,1.6102
0.4850,1.6102
0.4855,1.6153
0.4860,1.6153
0.4866,1.6102
0.4871,1.6102
0.4876,1.6102
0.4881,1.6153
0.4887,1.6102
0.4892,1.6102
0.4897,1.6102
0.4902,1.6102
0.4908,1.6102
0.4913,1.6153
0.4918,1.6102
0.4923,1.6153
0.4929,1.6102
0.4934,1.6153
0.4939,1.6102
0.4944,1.6102
0.4950,1.6153
0.4955,1.6153
0.4960,1.6102
0.4965,1.6051
0.4971,1.6153
0.4976,1.6153
0.4981,1.6102
0.4986,1.6153
0.4992,1.6102
0.4997,1.6102
0.5002,1.6102
0.5007,1.6102
0.5013,1.6153
0.5018,1.6153
0.5023,1.6153
0.5028,1.6102
0.5034,1.6102
0.5039,1.6102
0.5044,1.6153
0.5049,1.6153
0.5055,1.6102
0.5060,1.6102
0.5065,1.6102
0.5070,1.6153
0.5076,1.6051
0.5081,1.6102
0.5086,1.6102
0.5091,1.6102
0.5097,1.6051
0.5102,1.6051
0.5107,1.6102
0.5112,1.6153
0.5117,1.6153
0.5123,1.6102
0.5128,1.6102
0.5133,1.6153
0.5138,1.6102
0.5144,1.6102
0.5149,1.6102
0.5154,1.6102
0.5159,1.6102
0.5165,1.6153
0.5170,1.6102
0.5175,1.6153
0.5180,1.6102
0.5186,1.6102
0.5191,1.6153
0.5196,1.6102
0.5201,1.6102
0.5207,1.6102
0.5212,1.6051
0.5217,1.6102
0.5222,1.6102
0.5228,1.6102
0.5233,1.6102
0.5238,1.6153
0.5243,1.6153
0.5249,1.6051
0.5254,1.6102
0.5259,1.6102
0.5264,1.6153
0.5270,1.6102
0.5275,1.6153
0.5280,1.6102
0.5285,1.6102
0.5291,1.6051
0.5296,1.6102
0.5301,1.6102
0.5306,1.6153
0.5312,1.6102
0.5317,1.6102
0.5322,1.6153
0.5327,1.6153
0.5333,1.6051
0.5338,1.6051
0.5343,1.6102
0.5348,1.6102
0.5354,1.6102
0.5359,1.6102
0.5364,1.6102
0.5369,1.6051
0.5375,1.6051
0.5380,1.6102
0.5385,1.6051
0.5390,1.6102
0.5395,1.6102
0.5401,1.6102
0.5406,1.6051
0.5411,1.6102
0.5416,1.6051
0.5422,1.6102
0.5427,1.6102
0.5432,1.6102
0.5437,1.6051
0.5443,1.6102
0.5448,1.6102
0.5453,1.6051
0.5458,1.6102
0.5464,1.6051
0.5469,1.6102
0.5474,1.6102
0.5479,1.6102
0.5485,1.6102
0.5490,1.6051
0.5495,1.6051
0.5500,1.6102
0.5506,1.6102
0.5511,1.6102
0.5516,1.6102
0.5521,1.6051
0.5527,1.6001
0.5532,1.6102
0.5537,1.6102
0.5542,1.6102
0.5548,1.6102
0.5553,1.6051
0.5558,1.6102
0.5563,1.6102
0.5569,1.6051
0.5574,1.6102
0.5579,1.6102
0.5584,1.6051
0.5590,1.6102
0.5595,1.6102
0.5600,1.6102
0.5605,1.6102
0.5611,1.6102
0.5616,1.6102
0.5621,1.6051
0.5626,1.6001
0.5632,1.6102
0.5637,1.6102
0.5642,1.6102
0.5647,1.6102
0.5653,1.6051
0.5658,1.6102
0.5663,1.6051
0.5668,1.6051
0.5674,1.6051
0.5679,1.6051
0.5684,1.6051
0.5689,1.6102
0.5695,1.6001
0.5700,1.6051
0.5705,1.6051
0.5710,1.6051
0.5715,1.6051
0.5721,1.6051
0.5726,1.6051
0.5731,1.6051
0.5736,1.6102
0.5742,1.6051
0.5747,1.6051
0.5752,1.6102
0.5757,1.6051
0.5763,1.6051
0.5768,1.6102
0.5773,1.6051
0.5778,1.6051
0.5784,1.6102
0.5789,1.6051
0.5794,1.6102
0.5799,1.6102
0.5805,1.6102
0.5810,1.6051
0.5815,1.6102
0.5820,1.6001
0.5826,1.6102
0.5831,1.6051
0.5836,1.6051
0.5841,1.6051
0.5847,1.6051
0.5852,1.6051
0.5857,1.6051
0.5862,1.6102
0.5868,1.6001
0.5873,1.6051
0.5878,1.6102
0.5883,1.6051
0.5889,1.6051
0.5894,1.6051
0.5899,1.6102
0.5904,1.6051
0.5909,1.6102
0.5915,1.6001
0.5920,1.6051
0.5925,1.6051
0.5930,1.6051
0.5936,1.6051
0.5941,1.6051
0.5946,1.6051
0.5951,1.6001
0.5957,1.6001
0.5962,1.6051
0.5967,1.6051
0.5972,1.6102
0.5978,1.6051
0.5983,1.6051
0.5988,1.6051
0.5993,1.6051
0.5999,1.6051
0.6004,1.6051
0.6009,1.6102
0.6015,1.6051
0.6020,1.6051
0.6025,1.6051
0.6030,1.6001
0.6036,1.6051
0.6041,1.6051
0.6046,1.6051
0.6051,1.6051
0.6057,1.6051
0.6062,1.6001
0.6067,1.6001
0.6072,1.6051
0.6078,1.6051
0.6083,1.6051
0.6088,1.6001
0.6093,1.6051
0.6098,1.6051
0.6104,1.6051
0.6109,1.6051
0.6114,1.6051
0.6119,1.6051
0.6125,1.6051
0.6130,1.6051
0.6135,1.6051
0.6140,1.6051
0.6146,1.6051
0.6151,1.6051
0.6156,1.6051
0.6161,1.6001
0.6167,1.6051
0.6172,1.6051
0.6178,1.6051
0.6184,1.6001
0.6189,1.6051
0.6194,1.6051
0.6199,1.6051
0.6204,1.6051
0.6210,1.6051
0.6215,1.6051
0.6220,1.6001
0.6225,1.6051
0.6231,1.6051
0.6236,1.6001
0.6241,1.6051
0.6246,1.6001
0.6251,1.6001
0.6257,1.6051
0.6262,1.6001
0.6267,1.6001
0.6273,1.6001
0.6278,1.6001
0.6283,1.6051
0.6288,1.6051
0.6293,1.6051
0.6299,1.6051
0.6304,1.6001
0.6309,1.6051
0.6314,1.6051
0.6320,1.6051
0.6325,1.6001
0.6330,1.6001
0.6335,1.6001
0.6340,1.6051
0.6346,1.6001
0.6351,1.6001
0.6356,1.6001
0.6361,1.6001
0.6367,1.6001
0.6372,1.6051
0.6377,1.6001
0.6382,1.6001
0.6388,1.5950
0.6393,1.6051
0.6398,1.6051
0.6403,1.6001
0.6408,1.6051
0.6414,1.6051
0.6419,1.5950
0.6424,1.5950
0.6429,1.6001
0.6435,1.6001
0.6440,1.5950
0.6445,1.5950
0.6450,1.6001
0.6456,1.6001
0.6462,1.6051
0.6467,1.6001
0.6473,1.5950
0.6478,1.6001
0.6484,1.6051
0.6489,1.6001
0.6495,1.6001
0.6500,1.6001
0.6505,1.6001
0.6511,1.5950
0.6516,1.5950
0.6521,1.6001
0.6527,1.6001
0.6532,1.6001
0.6537,1.6001
0.6542,1.5950
0.6548,1.6001
0.6553,1.6001
0.6558,1.5950
0.6564,1.6001
0.6569,1.5950
0.6575,1.6001
0.6580,1.5950
0.6586,1.5950
0.6591,1.6051
0.6597,1.5950
0.6602,1.6001
0.6607,1.6051
0.6613,1.6051
0.6619,1.5950
0.6624,1.5950
0.6630,1.6001
0.6636,1.6001
0.6641,1.6001
0.6646,1.6051
0.6652,1.6001
0.6657,1.6001
0.6662,1.6051
0.6667,1.5950
0.6673,1.6001
0.6678,1.6001
0.6683,1.6051
0.6688,1.6001
0.6694,1.5950
0.6699,1.6001
0.6704,1.6001
0.6709,1.6001
0.6715,1.5950
0.6720,1.5950
0.6725,1.5950
0.6730,1.6001
0.6736,1.5950
0.6741,1.6001
0.6746,1.6001
0.6751,1.5950
0.6757,1.5950
0.6762,1.5950
0.6767,1.6001
0.6772,1.6001
0.6778,1.6001
0.6783,1.5900
0.6788,1.5950
0.6794,1.5950
0.6799,1.6001
0.6804,1.5900
0.6809,1.5950
0.6814,1.5950
0.6820,1.5950
0.6825,1.6001
0.6830,1.5950
0.6835,1.5950
0.6841,1.6001
0.6846,1.6001
0.6851,1.6001
0.6856,1.5950
0.6862,1.5950
0.6867,1.5950
0.6873,1.6001
0.6878,1.6001
0.6883,1.6001
0.6889,1.6001
0.6894,1.5950
0.6900,1.6001
0.6905,1.6001
0.6911,1.6001
0.6916,1.6001
0.6922,1.6001
0.6927,1.5950
0.6933,1.5950
0.6938,1.5950
0.6944,1.5950
0.6949,1.6001
0.6955,1.6001
0.6960,1.6001
0.6966,1.5950
0.6971,1.5900
0.6977,1.6001
0.6982,1.5950
0.6987,1.6001
0.6993,1.5950
0.6998,1.5950
0.7004,1.5950
0.7009,1.5950
0.7015,1.6001
0.7020,1.5900
0.7025,1.6001
0.7031,1.5950
0.7036,1.6001
0.7042,1.5950
0.7047,1.5950
0.7053,1.5950
0.7058,1.5950
0.7064,1.5950
0.7069,1.5950
0.7075,1.5950
0.7080,1.6001
0.7085,1.5950
0.7091,1.5950
0.7096,1.5950
0.7102,1.5950
0.7107,1.5950
0.7113,1.5950
0.7118,1.5950
