с,В
0.5847,0.6279
0.5853,0.6380
0.5859,0.6329
0.5865,0.6279
0.5871,0.6329
0.5877,0.6279
0.5883,0.6329
0.5889,0.6279
0.5895,0.6279
0.5901,0.6329
0.5906,0.6329
0.5915,0.6279
0.5923,0.6329
0.5932,0.6380
0.5939,0.6279
0.5947,0.6329
0.5957,0.6228
0.5968,0.6279
0.5977,0.6279
0.5985,0.6380
0.5992,0.6279
0.5999,0.6279
0.6007,0.6329
0.6014,0.6279
0.6021,0.6279
0.6028,0.6279
0.6036,0.6279
0.6043,0.6279
0.6049,0.6329
0.6056,0.6279
0.6064,0.6228
0.6073,0.6279
0.6082,0.6279
0.6091,0.6329
0.6098,0.6279
0.6104,0.6279
0.6112,0.6329
0.6119,0.6329
0.6126,0.6329
0.6133,0.6279
0.6140,0.6279
0.6147,0.6279
0.6154,0.6279
0.6160,0.6279
0.6167,0.6279
0.6174,0.6279
0.6181,0.6279
0.6188,0.6279
0.6196,0.6279
0.6203,0.6329
0.6210,0.6329
0.6217,0.6279
0.6224,0.6279
0.6231,0.6279
0.6238,0.6279
0.6245,0.6279
0.6252,0.6329
0.6259,0.6279
0.6266,0.6228
0.6273,0.6279
0.6280,0.6279
0.6287,0.6279
0.6295,0.6329
0.6304,0.6329
0.6311,0.6279
0.6318,0.6329
0.6326,0.6329
0.6335,0.6279
0.6342,0.6228
0.6349,0.6279
0.6355,0.6329
0.6362,0.6329
0.6368,0.6279
0.6374,0.6279
0.6380,0.6279
0.6387,0.6279
0.6394,0.6279
0.6402,0.6279
0.6410,0.6279
0.6418,0.6329
0.6425,0.6329
0.6432,0.6279
0.6438,0.6279
0.6445,0.6279
0.6452,0.6329
0.6461,0.6279
0.6469,0.6279
0.6479,0.6279
0.6488,0.6329
0.6497,0.6279
0.6506,0.6279
0.6515,0.6329
0.6523,0.6329
0.6530,0.6279
0.6537,0.6279
0.6544,0.6329
0.6551,0.6279
0.6558,0.6329
0.6566,0.6279
0.6573,0.6279
0.6580,0.6279
0.6587,0.6329
0.6594,0.6329
0.6601,0.6279
0.6608,0.6329
0.6615,0.6329
0.6622,0.6279
0.6630,0.6329
0.6637,0.6279
0.6644,0.6329
0.6652,0.6279
0.6659,0.6279
0.6666,0.6279
0.6673,0.6279
0.6680,0.6279
0.6687,0.6279
0.6695,0.6329
0.6702,0.6329
0.6710,0.6329
0.6717,0.6279
0.6724,0.6279
0.6731,0.6279
0.6738,0.6329
0.6746,0.6279
0.6752,0.6329
0.6759,0.6380
0.6766,0.6329
0.6773,0.6279
0.6780,0.6279
0.6787,0.6279
0.6795,0.6329
0.6802,0.6329
0.6809,0.6279
0.6816,0.6279
0.6822,0.6329
0.6828,0.6279
0.6834,0.6279
0.6840,0.6279
0.6846,0.6279
0.6852,0.6279
0.6858,0.6329
0.6864,0.6329
0.6870,0.6279
0.6876,0.6279
0.6882,0.6279
0.6888,0.6279
0.6894,0.6329
0.6900,0.6279
0.6906,0.6279
0.6912,0.6279
0.6918,0.6279
0.6924,0.6279
0.6930,0.6279
0.6936,0.6329
0.6942,0.6329
0.6949,0.6279
0.6955,0.6329
0.6962,0.6228
0.6969,0.6279
0.6976,0.6329
0.6983,0.6279
0.6989,0.6329
0.6996,0.6279
0.7003,0.6279
0.7010,0.6329
0.7017,0.6329
0.7025,0.6279
0.7032,0.6279
0.7038,0.6329
0.7046,0.6279
0.7053,0.6279
0.7059,0.6279
0.7066,0.6329
0.7073,0.6279
0.7079,0.6329
0.7088,0.6329
0.7096,0.6329
0.7103,0.6329
0.7111,0.6279
0.7119,0.6228
0.7126,0.6279
0.7135,0.6279
0.7143,0.6329
0.7151,0.6279
0.7160,0.6279
0.7168,0.6329
0.7176,0.6279
0.7185,0.6279
0.7193,0.6279
0.7202,0.6329
0.7209,0.6329
0.7216,0.6329
0.7222,0.6329
0.7228,0.6279
0.7235,0.6329
0.7243,0.6279
0.7250,0.6279
0.7258,0.6329
0.7265,0.6329
0.7272,0.6279
0.7278,0.6279
0.7285,0.6279
0.7292,0.6279
0.7298,0.6279
0.7305,0.6329
0.7311,0.6279
0.7318,0.6279
0.7324,0.6279
0.7330,0.6279
0.7337,0.6329
0.7343,0.6329
0.7350,0.6279
0.7356,0.6329
0.7363,0.6279
0.7369,0.6329
0.7375,0.6279
0.7382,0.6329
0.7388,0.6279
0.7394,0.6279
0.7400,0.6279
0.7406,0.6279
0.7412,0.6228
0.7418,0.6329
0.7424,0.6228
0.7430,0.6279
0.7436,0.6329
0.7442,0.6279
0.7448,0.6279
0.7454,0.6329
0.7460,0.6279
0.7467,0.6279
0.7472,0.6279
0.7478,0.6279
0.7485,0.6279
0.7491,0.6329
0.7498,0.6279
0.7505,0.6279
0.7511,0.6279
0.7517,0.6329
0.7523,0.6279
0.7529,0.6279
0.7536,0.6329
0.7542,0.6279
0.7548,0.6380
0.7555,0.6279
0.7561,0.6279
0.7568,0.6279
0.7574,0.6279
0.7580,0.6279
0.7587,0.6279
0.7593,0.6228
0.7599,0.6279
0.7605,0.6279
0.7612,0.6279
0.7618,0.6279
0.7624,0.6279
0.7630,0.6279
0.7636,0.6329
0.7642,0.6279
0.7648,0.6329
0.7654,0.6279
0.7661,0.6279
0.7666,0.6279
0.7672,0.6329
0.7678,0.6279
0.7684,0.6329
0.7690,0.6279
0.7696,0.6329
0.7703,0.6279
0.7709,0.6279
0.7716,0.6329
0.7722,0.6329
0.7728,0.6279
0.7734,0.6279
0.7740,0.6279
0.7746,0.6279
0.7752,0.6279
0.7758,0.6279
0.7764,0.6279
0.7770,0.6329
0.7777,0.6329
0.7784,0.6279
0.7791,0.6329
0.7798,0.6279
0.7804,0.6329
0.7811,0.6279
0.7818,0.6279
0.7826,0.6279
0.7833,0.6279
0.7839,0.6279
0.7846,0.6279
0.7853,0.6329
0.7860,0.6279
0.7867,0.6329
0.7874,0.6279
0.7882,0.6279
0.7889,0.6329
0.7896,0.6329
0.7903,0.6279
0.7910,0.6279
0.7917,0.6279
0.7924,0.6329
0.7931,0.6329
0.7937,0.6329
0.7944,0.6329
0.7950,0.6279
0.7957,0.6279
0.7963,0.6279
0.7970,0.6279
0.7977,0.6279
0.7984,0.6329
0.7990,0.6279
0.7997,0.6279
0.8004,0.6228
0.8010,0.6329
0.8016,0.6228
0.8022,0.6329
0.8028,0.6279
0.8034,0.6329
0.8040,0.6279
0.8046,0.6279
0.8052,0.6329
0.8057,0.6329
0.8063,0.6228
0.8069,0.6279
0.8075,0.6329
0.8081,0.6329
0.8087,0.6279
0.8093,0.6329
0.8099,0.6279
0.8105,0.6279
0.8111,0.6279
0.8117,0.6329
0.8123,0.6329
0.8129,0.6329
0.8135,0.6279
0.8141,0.6279
0.8147,0.6279
0.8153,0.6329
0.8159,0.6279
0.8166,0.6329
0.8172,0.6279
0.8179,0.6279
0.8186,0.6329
0.8193,0.6279
0.8200,0.6279
0.8206,0.6279
0.8214,0.6228
0.8221,0.6329
0.8227,0.6279
0.8234,0.6279
0.8241,0.6279
0.8248,0.6329
0.8255,0.6329
0.8262,0.6279
0.8269,0.6279
0.8276,0.6329
0.8283,0.6279
0.8290,0.6329
0.8297,0.6279
0.8304,0.6329
0.8310,0.6329
0.8317,0.6279
0.8323,0.6279
0.8329,0.6329
0.8336,0.6329
0.8343,0.6279
0.8350,0.6329
0.8357,0.6329
0.8363,0.6279
0.8370,0.6279
0.8377,0.6279
0.8384,0.6279
0.8390,0.6329
0.8397,0.6279
0.8403,0.6279
0.8410,0.6329
0.8416,0.6279
0.8422,0.6329
0.8428,0.6279
0.8434,0.6279
0.8440,0.6228
0.8446,0.6279
0.8452,0.6329
0.8459,0.6279
0.8464,0.6329
0.8470,0.6279
0.8476,0.6329
0.8482,0.6279
0.8488,0.6279
0.8494,0.6329
0.8500,0.6329
0.8505,0.6279
0.8511,0.6279
0.8517,0.6279
0.8522,0.6279
0.8528,0.6329
0.8533,0.6279
0.8539,0.6228
0.8544,0.6279
0.8550,0.6279
0.8556,0.6279
0.8563,0.6279
0.8569,0.6279
0.8576,0.6279
0.8583,0.6279
0.8590,0.6279
0.8597,0.6279
0.8603,0.6279
0.8610,0.6279
0.8617,0.6279
0.8624,0.6279
0.8631,0.6279
0.8638,0.6279
0.8645,0.6279
0.8651,0.6279
0.8658,0.6228
0.8665,0.6279
0.8672,0.6279
0.8679,0.6279
0.8686,0.6329
0.8693,0.6279
0.8700,0.6228
0.8707,0.6279
0.8713,0.6329
0.8719,0.6228
0.8726,0.6279
0.8733,0.6329
0.8739,0.6329
0.8746,0.6329
0.8755,0.6279
0.8763,0.6279
0.8772,0.6279
0.8779,0.6279
0.8789,0.6279
0.8797,0.6329
0.8807,0.6279
0.8815,0.6329
0.8821,0.6279
0.8828,0.6279
0.8834,0.6279
0.8840,0.6329
0.8847,0.6329
0.8853,0.6279
0.8860,0.6279
0.8868,0.6329
0.8876,0.6279
0.8884,0.6279
0.8891,0.6279
0.8898,0.6329
0.8906,0.6329
0.8912,0.6329
0.8919,0.6279
0.8925,0.6279
0.8932,0.6279
0.8938,0.6329
0.8945,0.6279
0.8951,0.6279
0.8957,0.6279
0.8963,0.6279
0.8970,0.6279
0.8977,0.6279
0.8984,0.6279
0.8991,0.6329
0.8998,0.6279
0.9005,0.6329
0.9012,0.6279
0.9019,0.6329
0.9027,0.6329
0.9034,0.6279
0.9041,0.6279
0.9048,0.6329
0.9055,0.6279
0.9062,0.6279
0.9069,0.6279
0.9076,0.6329
0.9083,0.6279
0.9089,0.6279
0.9096,0.6279
0.9103,0.6329
0.9111,0.6279
0.9119,0.6329
0.9126,0.6279
0.9134,0.6228
0.9141,0.6279
0.9148,0.6279
0.9155,0.6329
0.9161,0.6279
0.9168,0.6279
0.9174,0.6279
0.9180,0.6329
0.9186,0.6279
0.9193,0.6279
0.9200,0.6329
0.9208,0.6329
0.9216,0.6329
0.9223,0.6329
0.9231,0.6329
0.9237,0.6279
0.9243,0.6279
0.9249,0.6279
0.9258,0.6380
0.9266,0.6329
0.9273,0.6279
0.9280,0.6279
0.9287,0.6279
0.9294,0.6329
0.9300,0.6329
0.9308,0.6279
0.9315,0.6329
0.9321,0.6329
0.9328,0.6329
0.9334,0.6329
0.9341,0.6279
0.9347,0.6279
0.9353,0.6279
0.9359,0.6279
0.9365,0.6228
0.9371,0.6279
0.9377,0.6329
