с,В
0.2911,1.7317
0.2916,1.7317
0.2921,1.7267
0.2927,1.7368
0.2932,1.7317
0.2937,1.7317
0.2942,1.7317
0.2948,1.7317
0.2953,1.7267
0.2958,1.7317
0.2963,1.7317
0.2969,1.7419
0.2975,1.7267
0.2981,1.7368
0.2987,1.7317
0.2993,1.7267
0.2999,1.7368
0.3005,1.7317
0.3010,1.7317
0.3016,1.7317
0.3021,1.7317
0.3027,1.7317
0.3033,1.7267
0.3038,1.7317
0.3044,1.7317
0.3049,1.7317
0.3055,1.7267
0.3060,1.7317
0.3066,1.7368
0.3071,1.7317
0.3078,1.7317
0.3083,1.7317
0.3089,1.7267
0.3095,1.7317
0.3100,1.7267
0.3106,1.7216
0.3111,1.7317
0.3117,1.7317
0.3122,1.7317
0.3128,1.7368
0.3133,1.7317
0.3139,1.7317
0.3144,1.7267
0.3149,1.7368
0.3155,1.7368
0.3162,1.7368
0.3169,1.7317
0.3174,1.7368
0.3179,1.7317
0.3185,1.7368
0.3190,1.7317
0.3195,1.7317
0.3200,1.7317
0.3206,1.7368
0.3211,1.7368
0.3217,1.7267
0.3222,1.7317
0.3231,1.7317
0.3236,1.7267
0.3242,1.7368
0.3248,1.7317
0.3253,1.7368
0.3259,1.7317
0.3265,1.7317
0.3271,1.7368
0.3277,1.7368
0.3283,1.7317
0.3289,1.7317
0.3294,1.7317
0.3300,1.7317
0.3305,1.7368
0.3311,1.7368
0.3317,1.7267
0.3322,1.7317
0.3328,1.7267
0.3334,1.7368
0.3340,1.7317
0.3346,1.7368
0.3351,1.7317
0.3357,1.7368
0.3363,1.7368
0.3370,1.7368
0.3376,1.7368
0.3382,1.7368
0.3388,1.7267
0.3394,1.7368
0.3400,1.7267
0.3405,1.7267
0.3412,1.7216
0.3418,1.7368
0.3424,1.7368
0.3429,1.7317
0.3435,1.7317
0.3441,1.7368
0.3447,1.7368
0.3452,1.7317
0.3458,1.7317
0.3464,1.7317
0.3470,1.7368
0.3476,1.7368
0.3481,1.7267
0.3487,1.7267
0.3493,1.7267
0.3499,1.7267
0.3504,1.7317
0.3515,1.7368
0.3521,1.7368
0.3526,1.7368
0.3532,1.7368
0.3538,1.7317
0.3544,1.7267
0.3550,1.7368
0.3556,1.7317
0.3561,1.7368
0.3567,1.7317
0.3573,1.7317
0.3579,1.7267
0.3585,1.7317
0.3590,1.7267
0.3596,1.7317
0.3602,1.7317
0.3608,1.7317
0.3614,1.7317
0.3619,1.7368
0.3625,1.7317
0.3631,1.7368
0.3637,1.7317
0.3643,1.7317
0.3649,1.7317
0.3655,1.7368
0.3660,1.7267
0.3666,1.7368
0.3671,1.7317
0.3677,1.7317
0.3683,1.7368
0.3689,1.7267
0.3695,1.7317
0.3701,1.7317
0.3707,1.7368
0.3713,1.7368
0.3719,1.7368
