с,В
30.4005,1.4234
30.4010,1.4462
30.4016,1.4690
30.4021,1.4932
30.4027,1.5207
30.4032,1.5502
30.4038,1.5763
30.4043,1.5917
30.4049,1.5901
30.4055,1.5695
30.4060,1.5333
30.4066,1.4903
30.4072,1.4516
30.4077,1.4271
30.4083,1.4219
30.4088,1.4343
30.4094,1.4574
30.4099,1.4813
30.4105,1.4976
30.4110,1.5014
30.4116,1.4924
30.4121,1.4748
30.4127,1.4554
30.4132,1.4412
30.4138,1.4381
30.4143,1.4491
30.4149,1.4735
30.4154,1.5072
30.4160,1.5425
30.4165,1.5696
30.4171,1.5803
30.4177,1.5719
30.4182,1.5492
30.4188,1.5228
30.4193,1.5043
30.4199,1.5005
30.4204,1.5110
30.4210,1.5298
30.4215,1.5498
30.4221,1.5662
30.4226,1.5777
30.4232,1.5849
30.4237,1.5877
30.4243,1.5848
30.4248,1.5735
30.4254,1.5516
30.4259,1.5190
30.4265,1.4780
30.4270,1.4327
30.4276,1.3882
30.4282,1.3484
30.4287,1.3159
30.4293,1.2915
30.4298,1.2736
30.4304,1.2592
30.4309,1.2463
30.4315,1.2360
30.4320,1.2333
30.4326,1.2441
30.4331,1.2713
30.4337,1.3123
30.4342,1.3601
30.4348,1.4060
30.4353,1.4434
30.4359,1.4685
30.4365,1.4808
30.4370,1.4824
30.4376,1.4778
30.4382,1.4729
30.4387,1.4731
30.4393,1.4815
30.4398,1.4975
30.4404,1.5174
30.4409,1.5360
30.4415,1.5493
30.4420,1.5565
30.4426,1.5595
30.4431,1.5597
30.4437,1.5549
30.4442,1.5396
30.4448,1.5088
30.4453,1.4634
30.4459,1.4129
30.4464,1.3722
30.4470,1.3547
30.4475,1.3642
30.4481,1.3930
30.4487,1.4252
30.4492,1.4457
30.4498,1.4468
30.4503,1.4313
30.4509,1.4098
30.4514,1.3939
30.4520,1.3914
30.4525,1.4033
30.4531,1.4247
30.4536,1.4486
30.4542,1.4684
30.4547,1.4809
30.4553,1.4859
30.4559,1.4853
30.4564,1.4812
30.4570,1.4746
30.4575,1.4641
30.4581,1.4471
30.4586,1.4210
30.4592,1.3861
30.4597,1.3473
30.4603,1.3133
30.4608,1.2932
30.4614,1.2927
30.4619,1.3115
30.4625,1.3430
30.4630,1.3781
30.4636,1.4091
30.4641,1.4327
30.4647,1.4495
30.4652,1.4616
30.4658,1.4705
30.4663,1.4756
30.4669,1.4748
30.4674,1.4660
30.4680,1.4491
30.4686,1.4273
30.4691,1.4072
30.4697,1.3959
30.4702,1.3969
30.4708,1.4084
30.4713,1.4236
30.4719,1.4343
30.4724,1.4331
30.4730,1.4160
30.4735,1.3824
30.4741,1.3359
30.4746,1.2843
30.4752,1.2392
30.4757,1.2139
30.4763,1.2191
30.4768,1.2579
30.4774,1.3228
30.4779,1.3973
30.4785,1.4608
30.4790,1.4966
30.4796,1.4964
30.4801,1.4628
30.4807,1.4076
30.4812,1.3479
30.4818,1.2999
30.4824,1.2746
30.4829,1.2749
30.4835,1.2957
30.4840,1.3281
30.4846,1.3631
30.4851,1.3948
30.4857,1.4211
30.4862,1.4413
30.4868,1.4544
30.4873,1.4580
30.4879,1.4508
30.4884,1.4344
30.4890,1.4142
30.4895,1.3982
30.4901,1.3926
30.4906,1.3995
30.4912,1.4140
30.4917,1.4258
30.4923,1.4229
30.4928,1.3976
30.4934,1.3516
30.4939,1.2971
30.4945,1.2516
30.4951,1.2292
30.4956,1.2341
30.4962,1.2595
30.4967,1.2921
30.4973,1.3192
30.4978,1.3337
30.4984,1.3361
30.4990,1.3313
30.4995,1.3252
30.5001,1.3215
30.5006,1.3207
30.5012,1.3211
30.5017,1.3207
30.5023,1.3173
30.5028,1.3094
30.5034,1.2967
30.5039,1.2817
30.5045,1.2705
30.5050,1.2719
30.5056,1.2947
30.5061,1.3434
30.5067,1.4155
30.5073,1.5003
30.5078,1.5805
30.5084,1.6365
30.5089,1.6526
30.5095,1.6235
30.5100,1.5561
30.5106,1.4683
30.5111,1.3826
30.5117,1.3192
30.5122,1.2897
30.5128,1.2948
30.5133,1.3246
30.5139,1.3636
30.5144,1.3955
30.5150,1.4090
30.5155,1.4002
30.5161,1.3734
30.5166,1.3394
30.5172,1.3115
30.5177,1.3004
30.5183,1.3104
30.5189,1.3373
30.5194,1.3701
30.5200,1.3963
30.5205,1.4066
30.5211,1.3982
30.5216,1.3743
30.5222,1.3416
30.5227,1.3066
30.5233,1.2747
30.5238,1.2494
30.5244,1.2338
